Wine,link,Link_wine,image_link,image_names
Tresassi Bianco 2022,https://www.vivino.com/IT/en/fontemorsi-tresassi-bianco-2022/w/3135683,https://www.wine-searcher.com/find/fontemorsi+tresassi+bianco/2022/#t4,https://images.vivino.com/thumbs/npWW8Mx7TbmkjpWgI-K6Xw_pb_x600.png,TresassiBianco2022.png
Chardonnay 2022,https://www.vivino.com/IT/en/tenuta-di-capezzana-chardonnay-tuscany-2022/w/1801359,https://www.wine-searcher.com/find/tenuta+di+capezzana+chardonnay+tuscany/2022/#t4,https://images.vivino.com/thumbs/dc5B56snRU-J_7ikyNAGFw_pb_x600.png,Chardonnay2022.png
Torricella 2012,https://www.vivino.com/IT/en/ricasoli-torricella-tuscany-2012/w/12211,https://www.wine-searcher.com/find/ricasoli+torricella+tuscany/2012/#t4,https://images.vivino.com/thumbs/rtsK_3zjSVeZi4tVvUykzQ_pb_x600.png,Torricella2012.png
Rosso 2015,https://www.vivino.com/IT/en/ripalte-red-2015/w/2321049,https://www.wine-searcher.com/find/ripalte+red/2015/#t4,https://images.vivino.com/thumbs/5WIBezZwSfycpS6nY4gHcg_pb_x600.png,Rosso2015.png
Vernaccia di San Gimignano (Pancole) 2019,https://www.vivino.com/IT/en/cesani-vernaccia-di-san-gimignano-pancole-2019/w/1203237,https://www.wine-searcher.com/find/cesani+vernaccia+di+san+gimignano+pancole/2019/#t4,https://images.vivino.com/thumbs/kuxURVJSSzigzl2LjZOkiw_pb_x600.png,VernacciadiSanGimignano(Pancole)2019.png
Argentèo Toscana Vermentino 2021,https://www.vivino.com/IT/en/podere-casina-argenteo-toscana-vermentino-2021/w/2656840,https://www.wine-searcher.com/find/podere+casina+argenteo+toscana+vermentino/2021/#t4,https://images.vivino.com/thumbs/iani-UvyTveNkCuFJiFhPw_pb_x600.png,ArgentèoToscanaVermentino2021.png
Trebbiano Toscana 2021,https://www.vivino.com/IT/en/ambra-trebbiano-toscana-2021/w/1847849,https://www.wine-searcher.com/find/ambra+trebbiano+toscana/2021/#t4,https://images.vivino.com/thumbs/Y6hxjyPlQ2OhBkN8D0-DuQ_pb_x600.png,TrebbianoToscana2021.png
Leo Rosso di Toscana 2020,https://www.vivino.com/IT/en/svetoni-leo-rosso-di-toscana-2020/w/7957828,https://www.wine-searcher.com/find/svetoni+leo+rosso+di+toscana/2020/#t4,https://images.vivino.com/thumbs/eod2oRUHT8iuL4dts2is-A_pb_x600.png,LeoRossodiToscana2020.png
Cabernet Sauvignon 2016,https://www.vivino.com/IT/en/campo-alle-comete-cabernet-sauvignon-2016/w/5762431,https://www.wine-searcher.com/find/campo+alle+comete+cabernet+sauvignon/2016/#t4,https://images.vivino.com/thumbs/kkzuc9hITm2TQet50XFK9Q_pb_x600.png,CabernetSauvignon2016.png
Rosso 2020,https://www.vivino.com/IT/en/ventisei-rosso-2020/w/6166634,https://www.wine-searcher.com/find/ventisei+rosso/2020/#t4,https://images.vivino.com/thumbs/yc6vMJPKTIOyklYO9GhpTg_pb_x600.png,Rosso2020.png
